Name,Price
CHYNES TAB,1
ZYPOVID CREAM 20GM,1
CACHPAR 500 MG TABLET 10,3
PEPMELT LEMON POWDER 1,6
PEPMELT LEMON POWDER 1,6
SHELLWELL 250 MG/0.25MCG STRIP OF 10 TABLETS,6
QUTAR LOTION,7
VITAMIN A CHEW TAB,8
PYREXON 650MG TABLET,8
SILHEX SKIN CREAM 15GM,8
SILHEX SKIN CREAM 15GM,8
CULE 500 MG TABLET 15,8
PARASUIT 500MG TAB,9
KELVIN 500MG TABLET,9
XYPAR RAPID TAB 10`S,9
XTPARA DROPS,9
XTPARA DROPS,9
FDSON 5MG TABLET,9
PARAWOK 500MG TAB,9
FERRIWOK STRIP OF 10 TABLETS,9
PARACAD 500MGTAB,9
PARACAD 500MGTAB,9
BLUVIT D3 ORANGE FLAV GRANULES 1GM,10
BLUVIT D3 ORANGE FLAV GRANULES 1GM,10
ALGINA 650MG TABLET,10
MACFAST 500MG TABLET,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
GAS O FAST LEMON ANTACID SACHET OF 5 G,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
GAS O FAST LEMON ANTACID SACHET OF 5 G,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
GAS O FAST LEMON ANTACID SACHET OF 5 G,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
GAS O FAST ACTIVE JEERA ANTACID SACHET OF 5 G,10
NESTOCAL 250MG TAB,10
NEUROBION FORTE STRIP OF 10 TABLETS,10
XYKAA RAPID 500MG TABLET,10
XYKAA RAPID 500MG TABLET,10
TYFY 500MG TAB,10
TYFY 500MG TAB,10
CREMAFFIN FRESH  TABLETS  STRIP OF 10,11
CREMAFFIN FRESH  TABLETS  STRIP OF 10,11
CREMAFFIN FRESH  TABLETS  STRIP OF 10,11
DULFRE 5MG TAB,11
DULFRE 5MG TAB,11
DULFRE 5MG TAB,11
OPTINEURON FORTE TABLET 10'S,11
"DULCOFLEX 5MG TABLET, CONSTIPATION LAXATIVE, BOWEL MOVEMENT REGULATOR, 1 STRIP-10 TABLET",11
"DULCOFLEX 5MG TABLET, CONSTIPATION LAXATIVE, BOWEL MOVEMENT REGULATOR, 1 STRIP-10 TABLET",11
